gene_id,3-9-mock1-13_S20,3-9-mock2-14_S1,3-9-wt1-15_S2,3-9-wt2-16_S16,CoV002-CoV2-1-indexG4_S4,CoV002-CoV2-2-indexG5_S5,CoV002-CoV2-3-indexG6_S6,CoV002-mock1-indexG1_S1,CoV002-mock2-indexG2_S2,CoV002-mock3-indexG3_S3,SARS004-CoV2-1_S4,SARS004-CoV2-2_S5,SARS004-CoV2-3_S6,SARS004-mock-1_S1,SARS004-mock-2_S2,SARS004-mock-3_S3,svRNA184-RSV-1-indexF4_S16,svRNA184-RSV-3-indexH9_S18,svRNA184-mock-1-indexF1_S13,svRNA184-mock-3-indexF3_S15
ENSG00000242268.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.19089,0,0,0,0,0,0,0,0,0,0,32,21,22,33,26,22,0,0,0,12
ENSG00000270112.3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0
ENSG00000278814.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269416.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225275.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273639.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201788.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276644.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240423.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236040.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.28363,2,4,0,0,29,38,48,8,15,27,246,81,62,97,80,61,4,0,16,22
MSTRG.3032,0,0,0,0,0,0,0,0,0,0,68,24,23,34,42,26,0,0,5,0
ENSG00000264981.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252650.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166391.14,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0
MSTRG.28360,297,606,569,146,1249,1690,1906,739,898,1470,4757,1534,1547,2076,1738,1825,177,220,870,1043
ENSG00000232001.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270469.1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000262950.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280038.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251538.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.11443,3,6,4,0,2,12,14,2,6,8,0,0,0,0,4,0,0,7,3,9
ENSG00000251044.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236667.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.19848,71,117,111,22,208,212,394,105,165,309,0,0,0,0,0,0,50,70,208,224
MSTRG.19849,6,13,14,2,44,78,65,30,60,78,0,0,0,0,0,0,16,41,58,110
MSTRG.19846,16,49,10,4,72,92,113,58,50,119,0,0,0,0,0,0,18,36,66,77
MSTRG.19847,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.19844,250,388,688,136,826,1071,1825,489,668,1220,1904,664,660,1205,693,718,75,103,344,345
MSTRG.19845,4,7,18,6,343,421,552,145,283,433,0,0,0,0,0,0,27,44,52,62
MSTRG.19842,1691,3336,1408,521,7526,10329,13128,4392,5899,10273,6100,1865,2062,3180,2013,2188,1860,2883,7411,10378
MSTRG.19843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MSTRG.19840,0,0,0,1,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0
MSTRG.19841,1,3,0,0,3,5,1,0,0,3,0,0,0,2,0,0,0,1,0,3
MSTRG.15172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15170,9,24,31,10,57,85,144,27,32,75,0,2,0,7,8,5,25,110,262,210
MSTRG.15171,0,0,0,0,0,0,0,0,0,0,26,19,13,0,0,0,0,0,0,0
MSTRG.15176,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
MSTRG.15177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15175,0,14,7,0,44,61,108,23,32,71,12,4,4,0,0,6,18,35,323,329
ENSG00000226753.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15179,21,26,10,0,23,22,51,9,14,22,24,0,8,6,0,8,5,5,71,73
ENSG00000214062.5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10522,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10523,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,0
ENSG00000274219.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10526,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0
